ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
293	Werikyana	CLOUD	kahrutu	kahrutu	k a h r u t u	- k - a - - h r u t - - u	105		
294	Yawarana	CLOUD	kapurutu	kapurutu	k a p u r u t u	- k - a p u - r u t - - u	105		
295	Yawarana	CLOUD	werei	werei	w e r e i	w e r e - - i	107		
296	Ye'kwana	CLOUD	kaʔrutu	kaʔrutu	k a ʔ r u t u	- k - a - - ʔ r u t - - u	105		
297	Yukpa	CLOUD	kamuru	kamuru	k a m u r u	k a m u - r u	106		
298	Akawaio	COLD	ikomiʔ pe	ikomiʔ pe	i k o m i ʔ + p e	- i k o m - i - - - ʔ - + p e	118		
299	Apalaí	COLD	kueni	kueni	k u e n i	k u e n i	122		
300	Arara	COLD	koŋt͡ʃi-pe	koŋt͡ʃipe	k o ŋ t͡ʃ i p e	- - k o - - - ŋ t͡ʃ i p e - - -	118		
301	Bakairi	COLD	igəwɨ-nu	igəwɨnu	i g ə w ɨ n u	- i g ə w - ɨ - - - n u - - -	118		
302	Hixkaryána	COLD	t-ɨt͡ʃenot-ɲe	tɨt͡ʃenotɲe	t ɨ t͡ʃ e n o t ɲ e	t ɨ t͡ʃ e n o t ɲ e	117		
303	Ikpeng	COLD	gomt͡ʃi-n	gomt͡ʃin	g o m t͡ʃ i n	- - g o m - - - t͡ʃ i n - - - -	118		
304	Kari'ña	COLD	t-ɨʔsano-re	tɨʔsanore	t ɨ ʔ s a n o r e	t ɨ ʔ s a n o r e	123		
305	Karijona	COLD	kət͡ʃi	kət͡ʃi	k ə t͡ʃ i	- - k ə - - - - t͡ʃ - - i - - -	118		
306	Kuikuro	COLD	keɨnti	keɨnti	k e ɨ n t i	- - k e - - ɨ n t - - i - - -	118		
307	Macushi	COLD	komiʔ	komiʔ	k o m i ʔ	- - k o m - i - ʔ - - - - - -	118		
308	Mapoyo	COLD	iʔnətə-ke	iʔnətəke	i ʔ n ə t ə k e	i ʔ n ə t ə k - - - e	119		
309	Panare	COLD	kəmɨʔ	kəmɨʔ	k ə m ɨ ʔ	- - k ə m - ɨ - ʔ - - - - - -	118		
310	Panare	COLD	natəkɨhto	natəkɨhto	n a t ə k ɨ h t o	- - n a t ə k ɨ h t o	119		
311	Pemón	COLD	komik	komik	k o m i k	- - k o m - i - k - - - - - -	118		
312	Tiriyó	COLD	t-ɨno-me	tɨnome	t ɨ n o m e	t ɨ - - n o - m e	117		
313	Waimiri-Atroari	COLD	tɨ-komi-a	tɨkomia	t ɨ k o m i a	t ɨ k o m - i - - - - a - - -	118		
314	Waiwai	COLD	t-wot-me	twotme	t w o t m e	t w o t m e	121		
315	Wayana	COLD	kəmɨi-ken	kəmɨiken	k ə m ɨ i k e n	- - k ə m ɨ i - k e n - - - -	118		
316	Werikyana	COLD	t-uknoʔ-ne	tuknoʔne	t u k n o ʔ n e	t u k n o ʔ n e	120		
317	Yawarana	COLD	ane-pe	anepe	a n e p e	a n e p e	125		
318	Ye'kwana	COLD	t-ukuna-se	tukunase	t u k u n a s e	t u k u n a s e	124		
319	Yukpa	COLD	koje	koje	k o j e	- - k o - - - - j - - e - - -	118		
320	Akawaio	COME	jepɨ	jepɨ	j e p ɨ	- j e - p ɨ	126		
321	Akuriyó	COME	epɨ	epɨ	e p ɨ	- - e - p ɨ	126		
322	Apalaí	COME	oeʔ	oeʔ	o e ʔ	o - e - ʔ -	126		
323	Arara	COME	ebɨ	ebɨ	e b ɨ	- - e - b ɨ	126		
324	Bakairi	COME	əe	əe	ə e	ə - e - - -	126		
325	Hixkaryána	COME	omokɨ	omokɨ	o m o k ɨ	o m o k ɨ	127		
326	Ikpeng	COME	arep	arep	a r e p	a r e - p -	126		
327	Ingarikó	COME	jepə	jepə	j e p ə	- j e - p ə	126		
328	Kari'ña	COME	opɨ	opɨ	o p ɨ	- - o - p ɨ	126		
329	Karijona	COME	ehɨ	ehɨ	e h ɨ	- - e - h ɨ	126		
330	Kuikuro	COME	ee	ee	e e	e - e - - -	126		
331	Macushi	COME	iipɨ	iipɨ	i i p ɨ	i - i - p ɨ	126		
332	Mapoyo	COME	epɨ	epɨ	e p ɨ	- - e - p ɨ	126		
333	Panare	COME	əpɨ	əpɨ	ə p ɨ	- - ə - p ɨ	126		
334	Pemón	COME	jeʔpɨ	jeʔpɨ	j e ʔ p ɨ	- j e ʔ p ɨ	126		
335	Tamanaku	COME	epu	epu	e p u	- - e - p u	126		
336	Tiriyó	COME	əepɨ	əepɨ	ə e p ɨ	ə - e - p ɨ	126		
337	Waimiri-Atroari	COME	tɨta	tɨta	t ɨ t a	t ɨ t a	128		
338	Waiwai	COME	mok	mok	m o k	- m o k -	127		
339	Wayana	COME	uməkɨ	uməkɨ	u m ə k ɨ	u m ə k ɨ	127		
340	Werikyana	COME	ehɨ	ehɨ	e h ɨ	- - e - h ɨ	126		
341	Yawarana	COME	əəpɨ	əəpɨ	ə ə p ɨ	ə - ə - p ɨ	126		
342	Ye'kwana	COME	ehə	ehə	e h ə	- - e - h ə	126		
343	Yukpa	COME	ta	ta	t a	t - - a	128		
344	Akawaio	DIE	erikɨ	erikɨ	e r i k ɨ	e r i - k ɨ	130		
345	Apalaí	DIE	orikɨ	orikɨ	o r i k ɨ	o r i - k ɨ	130		
346	Arara	DIE	rumpo	rumpo	r u m p o	r u m - p o	131		
347	Bakairi	DIE	ige	ige	i g e	i g e	137		
348	Hixkaryána	DIE	wajehɨ	wajehɨ	w a j e h ɨ	- w a j e h ɨ	129		
349	Ikpeng	DIE	rompo	rompo	r o m p o	r o m - p o	131		
350	Ingarikó	DIE	eriʔ	eriʔ	e r i ʔ	e r i - ʔ -	130		
351	Kari'ña	DIE	romopɨ	romopɨ	r o m o p ɨ	r o m o p ɨ	131		
352	Karijona	DIE	aheh	aheh	a h e h	a h e h	141		
353	Kuikuro	DIE	apɨŋu	apɨŋu	a p ɨ ŋ u	a p ɨ ŋ u	136		
354	Macushi	DIE	saʔmanta	saʔmanta	s a ʔ m a n t a	s a ʔ m a n t a	135		
355	Mapoyo	DIE	tapiki	tapiki	t a p i k i	t a p i k i	139		
356	Panare	DIE	oʔkepɨ	oʔkepɨ	o ʔ k e p ɨ	o ʔ - k e p ɨ	132		
357	Pemón	DIE	eriʔkɨ	eriʔkɨ	e r i ʔ k ɨ	e r i ʔ k ɨ	130		
358	Tamanaku	DIE	atakepu	atakepu	a t a k e p u	a t a k e p u	132		
359	Tiriyó	DIE	wa ei	wa ei	w a + e i	w a + e i	134		
360	Waimiri-Atroari	DIE	damem	damem	d a m e m	d a m e m	140		
361	Waiwai	DIE	wajh	wajh	w a j h	- w a j - h -	129		
362	Wayana	DIE	rəməpɨ	rəməpɨ	r ə m ə p ɨ	r ə m ə p ɨ	131		
363	Werikyana	DIE	ewaihɨ	ewaihɨ	e w a i h ɨ	e w a - i h ɨ	129		
364	Yawarana	DIE	əs-əma	əsəma	ə s ə m a	ə s ə m a	133		
365	Ye'kwana	DIE	əma	əma	ə m a	- - ə m a	133		
366	Yukpa	DIE	eka	eka	e k a	e k a	138		
367	Akawaio	DRINK	ensi	ensi	e n s i	e n s i	143		
368	Akuriyó	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
369	Apalaí	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
370	Arara	DRINK	eŋrɨ	eŋrɨ	e ŋ r ɨ	e ŋ - - r ɨ	142		
371	Bakairi	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
372	Hixkaryána	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
373	Ikpeng	DRINK	eŋgrɨ	eŋgrɨ	e ŋ g r ɨ	e ŋ - g r ɨ	142		
374	Ingarikó	DRINK	ensi	ensi	e n s i	e n s i	143		
375	Kari'ña	DRINK	enɨrɨ	enɨrɨ	e n ɨ r ɨ	e n ɨ - r ɨ	142		
376	Karijona	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
377	Kuikuro	DRINK	ili	ili	i l i	i l - - - i	142		
378	Macushi	DRINK	enɨrɨ	enɨrɨ	e n ɨ r ɨ	e n ɨ - r ɨ	142		
379	Mapoyo	DRINK	eni	eni	e n i	e n - i	143		
380	Panare	DRINK	eni	eni	e n i	e n - i	143		
381	Pemón	DRINK	eni	eni	e n i	e n - i	143		
382	Tamanaku	DRINK	eni; enɨ	eni	e n i	e n i	145		
383	Tamanaku	DRINK	eni; enɨ	enɨ	e n ɨ	e n ɨ	145		
384	Tiriyó	DRINK	enɨrɨ	enɨrɨ	e n ɨ r ɨ	e n ɨ - r ɨ	142		
385	Waimiri-Atroari	DRINK	ee	ee	e e	e - - - - e	142		
386	Waiwai	DRINK	erɨ	erɨ	e r ɨ	e r - - - ɨ	142		
387	Wayana	DRINK	erɨ	erɨ	e r ɨ	e r - - - ɨ	142		
388	Werikyana	DRINK	onɨ	onɨ	o n ɨ	o n - - - ɨ	142		
389	Yawarana	DRINK	eni	eni	e n i	e n - i	143		
390	Ye'kwana	DRINK	enɨ	enɨ	e n ɨ	e n - - - ɨ	142		
391	Yukpa	DRINK	enape	enape	e n a p e	e n a p e	144		
392	Akawaio	DRY	samururun	samururun	s a m u r u r u n	s a m u r u r u n	154		
393	Apalaí	DRY	t-ono-re	tonore	t o n o r e	t o n o r e	163		
394	Arara	DRY	umne	umne	u m n e	u m n e	147		
395	Bakairi	DRY	iladɨbɨ̃ẽ	iladɨbɨ̃ẽ	i l a d ɨ b ɨ̃ ẽ	i l a d ɨ b ɨ̃ ẽ	152		
396	Hixkaryána	DRY	sororo-he	sororohe	s o r o r o h e	s o r o r o h e	150		
397	Ikpeng	DRY	umne	umne	u m n e	u m n e	147		
398	Kari'ña	DRY	t-aru-re	tarure	t a r u r e	t a - r u r e	146		
399	Karijona	DRY	t-auru-ne	taurune	t a u r u n e	t a u r u n e	146		
400	Kuikuro	DRY	ahut͡sekĩ-mpɨɲɨ	ahut͡sekĩmpɨɲɨ	a h u t͡s e k ĩ m p ɨ ɲ ɨ	a h u t͡s e k ĩ m p ɨ ɲ ɨ	160		
401	Macushi	DRY	awaʔpiʔta	awaʔpiʔta	a w a ʔ p i ʔ t a	a w a ʔ p i ʔ t a	156		
402	Mapoyo	DRY	sikiriipɨnɨ	sikiriipɨnɨ	s i k i r i i p ɨ n ɨ	s i k i r i i p ɨ n ɨ	159		
403	Panare	DRY	tuutəʔ	tuutəʔ	t u u t ə ʔ	t u u t ə ʔ	157		
404	Pemón	DRY	akunnu	akunnu	a k u n n u	a k u n n u	155		
405	Tiriyó	DRY	t-unn-e	tunne	t u n n e	t u n n e	149		
406	Waimiri-Atroari	DRY	temɨna	temɨna	t e m ɨ n a	t e m ɨ n a	162		
407	Waiwai	DRY	tur-ɸe	turɸe	t u r ɸ e	t u r ɸ e	151		
408	Wayana	DRY	t-aharap-he	taharaphe	t a h a r a p h e	t a h a r a p h e	164		
409	Werikyana	DRY	t-aha-t͡ʃe	tahat͡ʃe	t a h a t͡ʃ e	t a h a t͡ʃ e	148		
410	Yawarana	DRY	konori	konori	k o n o r i	k o n o r i	158		
411	Ye'kwana	DRY	seree-he	sereehe	s e r e e h e	s e r e e h e	153		
412	Yukpa	DRY	sansan	sansan	s a n s a n	s a n s a n	161		
413	Akawaio	EAR	pana	pana	p a n a	p a - n a	165		
414	Akuriyó	EAR	pana	pana	p a n a	p a - n a	165		
415	Apalaí	EAR	pana	pana	p a n a	p a - n a	165		
416	Arara	EAR	pana	pana	p a n a	p a - n a	165		
417	Bakairi	EAR	wãta	wãta	w ã t a	w ã - t a	165		
418	Hixkaryána	EAR	hana	hana	h a n a	h a - n a	165		
419	Ikpeng	EAR	wana	wana	w a n a	w a - n a	165		
420	Ingarikó	EAR	pana	pana	p a n a	p a - n a	165		
421	Kari'ña	EAR	pana	pana	p a n a	p a - n a	165		
422	Karijona	EAR	hana	hana	h a n a	h a - n a	165		
423	Kuikuro	EAR	haŋa	haŋa	h a ŋ a	h a - ŋ a	165		
424	Macushi	EAR	pana	pana	p a n a	p a - n a	165		
425	Mapoyo	EAR	pana	pana	p a n a	p a - n a	165		
426	Panare	EAR	pana	pana	p a n a	p a - n a	165		
427	Pemón	EAR	pana	pana	p a n a	p a - n a	165		
428	Tamanaku	EAR	pana	pana	p a n a	p a - n a	165		
429	Tiriyó	EAR	pana	pana	p a n a	p a - n a	165		
430	Waimiri-Atroari	EAR	pana	pana	p a n a	p a - n a	165		
431	Waiwai	EAR	ɸana	ɸana	ɸ a n a	ɸ a - n a	165		
432	Wayana	EAR	pana	pana	p a n a	p a - n a	165		
433	Werikyana	EAR	hana	hana	h a n a	h a - n a	165		
434	Yawarana	EAR	pana	pana	p a n a	p a - n a	165		
435	Ye'kwana	EAR	haana	haana	h a a n a	h a a n a	165		
436	Yukpa	EAR	pana	pana	p a n a	p a - n a	165		
437	Akawaio	EARTH (SOIL)	non	non	n o n	n o - n -	166		
438	Akuriyó	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
439	Apalaí	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
440	Arara	EARTH (SOIL)	roŋ	roŋ	r o ŋ	- r o ŋ -	167		
441	Bakairi	EARTH (SOIL)	õrõ	õrõ	õ r õ	- õ - r õ	166		
442	Hixkaryána	EARTH (SOIL)	jukrʲeka	jukrʲeka	j u k rʲ e k a	j u k rʲ e k a	169		
443	Ikpeng	EARTH (SOIL)	oroŋ	oroŋ	o r o ŋ	o r o ŋ -	167		
444	Ingarikó	EARTH (SOIL)	non	non	n o n	n o - n -	166		
445	Kari'ña	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
446	Karijona	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
447	Kuikuro	EARTH (SOIL)	ŋoŋo	ŋoŋo	ŋ o ŋ o	ŋ o - ŋ o	166		
448	Macushi	EARTH (SOIL)	non	non	n o n	n o - n -	166		
449	Mapoyo	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
450	Panare	EARTH (SOIL)	ano; ana	ana	a n a	- a - n a	166		
451	Panare	EARTH (SOIL)	ano; ana	ano	a n o	- a - n o	166		
452	Pemón	EARTH (SOIL)	non	non	n o n	n o - n -	166		
453	Tamanaku	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
454	Tiriyó	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
455	Waimiri-Atroari	EARTH (SOIL)	kiʃi	kiʃi	k i ʃ i	k i ʃ i	170		
456	Waiwai	EARTH (SOIL)	roowo	roowo	r o o w o	r o o w o	168		
457	Wayana	EARTH (SOIL)	ro	ro	r o	r o - - -	168		
458	Werikyana	EARTH (SOIL)	rono	rono	r o n o	- r o n o	167		
459	Yawarana	EARTH (SOIL)	noono	noono	n o o n o	n o o n o	166		
460	Ye'kwana	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
461	Yukpa	EARTH (SOIL)	nono	nono	n o n o	n o - n o	166		
462	Akawaio	EAT	entaʔna	entaʔna	e n t a ʔ n a	e n t a - - ʔ n a	171		
463	Akuriyó	EAT	ə-ewetɨ	əewetɨ	ə e w e t ɨ	ə e w e t ɨ	175		
464	Apalaí	EAT	ot-uʔ	otuʔ	o t u ʔ	o t - - u ʔ	174		
465	Arara	EAT	ot͡ʃi-mtabriŋe	ot͡ʃimtabriŋe	o t͡ʃ i m t a b r i ŋ e	o t͡ʃ i m t a b r i ŋ e	173		
466	Bakairi	EAT	ə̃ɨ̃	ə̃ɨ̃	ə̃ ɨ̃	ə̃ ɨ̃	179		
467	Hixkaryána	EAT	emtakma	emtakma	e m t a k m a	e m t a - - k m a	171		
468	Ikpeng	EAT	ot͡ʃi-mtagrike	ot͡ʃimtagrike	o t͡ʃ i m t a g r i k e	o t͡ʃ i m t a g r i k e	173		
469	Ingarikó	EAT	entaika	entaika	e n t a i k a	e n t a - i k - a	171		
470	Kari'ña	EAT	oʔ-napɨ	oʔnapɨ	o ʔ n a p ɨ	o ʔ - n a p ɨ	176		
471	Karijona	EAT	es-erehatə	eserehatə	e s e r e h a t ə	e s e r e h a t ə	172		
472	Kuikuro	EAT	t-iɲãmpa	tiɲãmpa	t i ɲ ã m p a	t i ɲ ã m p a	180		
473	Macushi	EAT	entamoʔka	entamoʔka	e n t a m o ʔ k a	e n t a m o ʔ k a	171		
474	Mapoyo	EAT	wajʔtewə	wajʔtewə	w a j ʔ t e w ə	w a j ʔ t e w ə	182		
475	Panare	EAT	t͡ʃ-erema	t͡ʃerema	t͡ʃ e r e m a	- t͡ʃ e r e - - m a	172		
476	Pemón	EAT	entaʔna	entaʔna	e n t a ʔ n a	e n t a - - ʔ n a	171		
477	Tamanaku	EAT	anapu	anapu	a n a p u	a n a p u	177		
478	Tiriyó	EAT	ə-ewetɨ	əewetɨ	ə e w e t ɨ	ə e w e t ɨ	175		
479	Waimiri-Atroari	EAT	otɨ	otɨ	o t ɨ	o t ɨ	178		
480	Waiwai	EAT	es-eresma	eseresma	e s e r e s m a	e s e r e s - m a	172		
481	Wayana	EAT	ət-uku	ətuku	ə t u k u	ə t u k u -	174		
482	Werikyana	EAT	ot-ku	otku	o t k u	o t - k u -	174		
483	Yawarana	EAT	s-erema	serema	s e r e m a	- s e r e - - m a	172		
484	Ye'kwana	EAT	əə-wasint͡ʃə	əəwasint͡ʃə	ə ə w a s i n t͡ʃ ə	ə ə w a s i n t͡ʃ ə	181		
485	Yukpa	EAT	eʃ-enpa	eʃenpa	e ʃ e n p a	e ʃ e n - p a	176		
486	Akawaio	EGG	ʔmoi	ʔmoi	ʔ m o i	- ʔ - m o i	183		
487	Akuriyó	EGG	ʔmo	ʔmo	ʔ m o	- ʔ - m o -	183		
488	Apalaí	EGG	ʔmo	ʔmo	ʔ m o	- ʔ - m o -	183		
489	Arara	EGG	mu	mu	m u	- - - m - u	183		
490	Bakairi	EGG	õrũ	õrũ	õ r ũ	õ - - r ũ -	183		
491	Hixkaryána	EGG	hme	hme	h m e	- h - m e -	183		
492	Ikpeng	EGG	mu	mu	m u	- - - m - u	183		
493	Ingarikó	EGG	pɨmoi; ʔmoi	pɨmoi	p ɨ m o i	- p ɨ m o i	183		
494	Ingarikó	EGG	pɨmoi; ʔmoi	ʔmoi	ʔ m o i	- ʔ - m o i	183		
495	Kari'ña	EGG	ʔmo	ʔmo	ʔ m o	- ʔ - m o -	183		
496	Karijona	EGG	imo	imo	i m o	i - - m o -	183		
497	Kuikuro	EGG	hũĩ	hũĩ	h ũ ĩ	- h - - ũ ĩ	183		
498	Macushi	EGG	pɨmoi	pɨmoi	p ɨ m o i	- p ɨ m o i	183		
499	Mapoyo	EGG	ʔmei	ʔmei	ʔ m e i	- ʔ - m e i	183		
500	Panare	EGG	uʔmoe	uʔmoe	u ʔ m o e	u ʔ - m o e	183		
501	Pemón	EGG	pomoi	pomoi	p o m o i	- p o m o i	183		
502	Tamanaku	EGG	ʔmoi	ʔmoi	ʔ m o i	- ʔ - m o i	183		
503	Tiriyó	EGG	iimo	iimo	i i m o	i - i m o -	183		
504	Waimiri-Atroari	EGG	bi	bi	b i	- b - - - i	183		
505	Waiwai	EGG	ɸume; ɸme; hme	hme	h m e	- h - m e -	183		
506	Waiwai	EGG	ɸume; ɸme; hme	ɸme	ɸ m e	- ɸ - m - e	183		
507	Waiwai	EGG	ɸume; ɸme; hme	ɸume	ɸ u m e	- ɸ u m - e	183		
508	Wayana	EGG	hmo	hmo	h m o	- h - m o -	183		
509	Werikyana	EGG	ʔmo	ʔmo	ʔ m o	- ʔ - m o -	183		
510	Yawarana	EGG	hmoi	hmoi	h m o i	- h - m o i	183		
511	Ye'kwana	EGG	ʔmoi	ʔmoi	ʔ m o i	- ʔ - m o i	183		
512	Yukpa	EGG	nɨpɨ	nɨpɨ	n ɨ p ɨ	n ɨ p ɨ	184		
513	Akawaio	EYE	enu	enu	e n u	- e n u	185		
514	Akuriyó	EYE	ənu; enu	enu	e n u	- e n u	185		
515	Akuriyó	EYE	ənu; enu	ənu	ə n u	- ə n u	185		
516	Apalaí	EYE	onu	onu	o n u	- o n u	185		
517	Arara	EYE	eŋ	eŋ	e ŋ	- e ŋ -	185		
518	Bakairi	EYE	enu	enu	e n u	- e n u	185		
519	Hixkaryána	EYE	onu	onu	o n u	- o n u	185		
520	Ikpeng	EYE	eŋ	eŋ	e ŋ	- e ŋ -	185		
521	Ingarikó	EYE	enu	enu	e n u	- e n u	185		
522	Kari'ña	EYE	onu	onu	o n u	- o n u	185		
523	Karijona	EYE	enu	enu	e n u	- e n u	185		
524	Kuikuro	EYE	iŋu	iŋu	i ŋ u	- i ŋ u	185		
525	Macushi	EYE	enu	enu	e n u	- e n u	185		
526	Mapoyo	EYE	jenu	jenu	j e n u	j e n u	185		
527	Panare	EYE	o	o	o	- o - -	185		
528	Pemón	EYE	enu	enu	e n u	- e n u	185		
529	Tamanaku	EYE	anu	anu	a n u	- a n u	185		
530	Tiriyó	EYE	enu	enu	e n u	- e n u	185		
531	Waimiri-Atroari	EYE	eba	eba	e b a	e b a	186		
532	Waiwai	EYE	ew	ew	e w	- e w -	185		
533	Wayana	EYE	əwu	əwu	ə w u	- ə w u	185		
534	Werikyana	EYE	enu	enu	e n u	- e n u	185		
535	Yawarana	EYE	janu	janu	j a n u	j a n u	185		
536	Ye'kwana	EYE	ənu	ənu	ə n u	- ə n u	185		
537	Yukpa	EYE	enu	enu	e n u	- e n u	185		
538	Akawaio	FAT (ORGANIC SUBSTANCE)	kasiʔ	kasiʔ	k a s i ʔ	k a s i ʔ -	187		
539	Akawaio	FAT (ORGANIC SUBSTANCE)	kaiwan	kaiwan	k a i w a n	k a i w a n	188		
540	Apalaí	FAT (ORGANIC SUBSTANCE)	kase	kase	k a s e	k a s e - -	187		
541	Arara	FAT (ORGANIC SUBSTANCE)	gat	gat	g a t	g a - - t -	187		
542	Bakairi	FAT (ORGANIC SUBSTANCE)	gadɨ	gadɨ	g a d ɨ	g a - - d ɨ	187		
543	Hixkaryána	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
544	Ikpeng	FAT (ORGANIC SUBSTANCE)	gat	gat	g a t	g a - - t -	187		
545	Ingarikó	FAT (ORGANIC SUBSTANCE)	kaiwan	kaiwan	k a i w a n	k a i w a n	188		
546	Kari'ña	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
547	Karijona	FAT (ORGANIC SUBSTANCE)	ikatɨ	ikatɨ	i k a t ɨ	- i k a t ɨ	187		
548	Kuikuro	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
549	Macushi	FAT (ORGANIC SUBSTANCE)	kaiwan	kaiwan	k a i w a n	k a i w a n	188		
550	Mapoyo	FAT (ORGANIC SUBSTANCE)	kauri	kauri	k a u r i	k a - u r i	189		
551	Panare	FAT (ORGANIC SUBSTANCE)	kat	kat	k a t	k a - - t -	187		
552	Pemón	FAT (ORGANIC SUBSTANCE)	kasek	kasek	k a s e k	k a s e k -	187		
553	Tamanaku	FAT (ORGANIC SUBSTANCE)	kati	kati	k a t i	k a - - t i	187		
554	Tiriyó	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
555	Waimiri-Atroari	FAT (ORGANIC SUBSTANCE)	kijatɨ	kijatɨ	k i j a t ɨ	k i j a t ɨ	187		
556	Waiwai	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
557	Wayana	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
558	Werikyana	FAT (ORGANIC SUBSTANCE)	aho	aho	a h o	a h o	190		
559	Yawarana	FAT (ORGANIC SUBSTANCE)	kasori	kasori	k a s o r i	k a s o r i	189		
560	Ye'kwana	FAT (ORGANIC SUBSTANCE)	katɨ	katɨ	k a t ɨ	k a - - t ɨ	187		
561	Yukpa	FAT (ORGANIC SUBSTANCE)	kaka	kaka	k a k a	k a k a - -	187		
562	Akawaio	FEATHER	siʔpok	siʔpok	s i ʔ p o k	s i ʔ - p - o - k -	192		
563	Apalaí	FEATHER	ʔpotɨ	ʔpotɨ	ʔ p o t ɨ	- - ʔ - p - o - t ɨ	192		
564	Arara	FEATHER	abon	abon	a b o n	a b o n -	191		
565	Bakairi	FEATHER	ãga-hudu	ãgahudu	ã g a h u d u	ã g a h u d u	194		
566	Hixkaryána	FEATHER	aho	aho	a h o	a h o - -	191		
567	Ikpeng	FEATHER	arog	arog	a r o g	a r o g -	193		
568	Kari'ña	FEATHER	ɨpotɨ	ɨpotɨ	ɨ p o t ɨ	- ɨ - - p - o - t ɨ	192		
569	Karijona	FEATHER	ihotɨ	ihotɨ	i h o t ɨ	- i h - - - o - t ɨ	192		
570	Kuikuro	FEATHER	ɣoko	ɣoko	ɣ o k o	- ɣ o k o	193		
571	Macushi	FEATHER	apɨti	apɨti	a p ɨ t i	a p ɨ t i	195		
572	Mapoyo	FEATHER	waanari	waanari	w a a n a r i	w a a n a r i	196		
573	Panare	FEATHER	iipohto	iipohto	i i p o h t o	- i - i p - o h t o	192		
574	Pemón	FEATHER	siʔpok	siʔpok	s i ʔ p o k	s i ʔ - p - o - k -	192		
575	Tiriyó	FEATHER	apəri	apəri	a p ə r i	a p ə r i	191		
576	Waimiri-Atroari	FEATHER	sɨhɨ	sɨhɨ	s ɨ h ɨ	s ɨ h ɨ	198		
577	Waiwai	FEATHER	aɸo	aɸo	a ɸ o	a ɸ o - -	191		
578	Wayana	FEATHER	apə	apə	a p ə	a p ə - -	191		
579	Werikyana	FEATHER	iʔhot͡ʃi	iʔhot͡ʃi	i ʔ h o t͡ʃ i	- i ʔ - h - o - t͡ʃ i	192		
580	Yawarana	FEATHER	t͡ʃipoti	t͡ʃipoti	t͡ʃ i p o t i	t͡ʃ i - - p - o - t i	192		
581	Ye'kwana	FEATHER	iʔhootɨ	iʔhootɨ	i ʔ h o o t ɨ	- i ʔ - h o o - t ɨ	192		
582	Yukpa	FEATHER	pu	pu	p u	p u	197		
583	Akawaio	FIRE	apoʔ	apoʔ	a p o ʔ	- a p o - ʔ -	200		
584	Akuriyó	FIRE	mato	mato	m a t o	m a - - t o	199		
585	Apalaí	FIRE	apoto	apoto	a p o t o	- a p o - t o	200		
586	Arara	FIRE	kampot	kampot	k a m p o t	k a m p o t	201		
587	Bakairi	FIRE	peto	peto	p e t o	p e - - - t o	200		
588	Hixkaryána	FIRE	weheto	weheto	w e h e t o	w e h e - t o	200		
589	Ikpeng	FIRE	at͡ʃi	at͡ʃi	a t͡ʃ i	a t͡ʃ i	202		
590	Ingarikó	FIRE	apoʔ	apoʔ	a p o ʔ	- a p o - ʔ -	200		
591	Kari'ña	FIRE	waʔto	waʔto	w a ʔ t o	w a ʔ - - t o	200		
592	Karijona	FIRE	mahoto	mahoto	m a h o t o	m a h o t o	199		
593	Kuikuro	FIRE	ito	ito	i t o	- i - - - t o	200		
594	Macushi	FIRE	apoʔ	apoʔ	a p o ʔ	- a p o - ʔ -	200		
595	Mapoyo	FIRE	waʔto	waʔto	w a ʔ t o	w a ʔ - - t o	200		
596	Panare	FIRE	wahto	wahto	w a h t o	w a h - - t o	200		
597	Pemón	FIRE	apok	apok	a p o k	- a p o - k -	200		
598	Tamanaku	FIRE	wapto	wapto	w a p t o	w a p - - t o	200		
599	Tiriyó	FIRE	mahto	mahto	m a h t o	m a h - t o	199		
600	Waimiri-Atroari	FIRE	watɨ	watɨ	w a t ɨ	w a - - - t ɨ	200		
601	Waiwai	FIRE	wehto	wehto	w e h t o	w e h - - t o	200		
